response,expected_response,time,tokens/sec,bandwidth,memory
derogation,threatening,0.3298510080203414,12.126687209497103,78.73383570317435,6.794642432
derogation,animosity,0.11657412897329777,34.31293062387995,222.78043422437867,6.809345536
derogation,derogation,0.11489625900867395,34.81401426392851,226.03377425925933,6.809345536
derogation,animosity,0.11445797799387947,34.94732363884583,226.8992998757041,6.819072
derogation,derogation,0.11446832798537798,34.94416377350208,226.87878410626757,6.819072
derogation,derogation,0.11446515101124533,34.94513364689512,226.8850811147631,6.819072
derogation,support,0.11458479802240618,34.90864468092732,226.64817253438525,6.819072
derogation,animosity,0.11461873300140724,34.898309336143946,226.58106918422445,6.819072
derogation,derogation,0.11403796199010685,35.07603898030914,227.73499823026492,6.819072
animosity,derogation,0.0859414669976104,34.90747953003193,226.6406076654658,6.819072
derogation,support,0.11385832098312676,35.13138052152359,228.09430920598845,6.819072
dehumanization,derogation,0.1172015689953696,34.12923593333492,221.58777646591096,6.819072
derogation,derogation,0.11458937800489366,34.907249429603986,226.63911371340984,6.819072
derogation,derogation,0.11413702901336364,35.045594182512524,227.5373320691506,6.819072
derogation,derogation,0.11482650702237152,34.83516222626788,226.17107970496926,6.819072
derogation,derogation,0.11543164399336092,34.65254293900606,224.98540411928724,6.81970432
derogation,animosity,0.11396188699291088,35.099453909962236,227.8870222078327,6.824884224
derogation,derogation,0.11404852199484594,35.0727912123295,227.71391174340383,6.824884224
derogation,derogation,0.1150353120174259,34.77193159083246,225.760547926935,6.824884224
derogation,derogation,0.11526160198263824,34.703664804194865,225.3173183894486,6.824884224
derogation,derogation,0.11448097202810459,34.94030430679796,226.85372609890462,6.824884224
derogation,derogation,0.1146363359875977,34.89295052515245,226.546276520995,6.824884224
derogation,derogation,0.11425794899696484,35.008505185982784,227.2965277250853,6.824884224
derogation,animosity,0.11497653101105243,34.789708515518605,225.87596654402034,6.824884224
derogation,derogation,0.113687558012316,35.18414917107,228.436915402709,6.824884224
derogation,derogation,0.11482354099280201,34.83606206022465,226.1769219748067,6.824884224
derogation,derogation,0.11460180999711156,34.903462694880794,226.61452792634395,6.824884224
derogation,animosity,0.11497183199389838,34.79113040672677,225.88519832734565,6.824884224
derogation,support,0.11414583600708283,35.04289021766678,227.51977628328476,6.824884224
derogation,support,0.11503278798772953,34.77269455058915,225.76550152614092,6.828009472
derogation,derogation,0.11371249399962835,35.176433646887325,228.38682152275086,6.828009472
derogation,animosity,0.11413637900841422,35.04579376664049,227.5386278908098,6.828009472
derogation,derogation,0.11400611198041588,35.08583821091211,227.79862080079738,6.828009472
derogation,derogation,0.11398349798400886,35.09279913975946,227.84381538846512,6.828009472
derogation,derogation,0.11440294398926198,34.964135191970634,227.0084507129259,6.828009472
derogation,derogation,0.11466219500289299,34.8850813461148,226.49518502017818,6.828009472
derogation,derogation,0.11474381000152789,34.86026827893145,226.3340834826226,6.828009472
derogation,derogation,0.11411904598935507,35.051116711693474,227.5731876905324,6.828009472
derogation,derogation,0.11391012999229133,35.11540194248477,227.99056654362087,6.828009472
derogation,derogation,0.11462234999635257,34.89720809359854,226.57391924721847,6.828009472
derogation,animosity,0.1139137260033749,35.114293424845854,227.98336937227893,6.828009472
derogation,threatening,0.1147526860004291,34.857571874047835,226.31657678063317,6.828009472
derogation,support,0.11392232298385352,35.11164357635974,227.96616494276412,6.828009472
derogation,derogation,0.1139643220230937,35.098703953939555,227.88215303678422,6.828009472
derogation,derogation,0.114479488984216,34.940756946875474,226.8566649138406,6.828009472
derogation,derogation,0.11445693700807169,34.947641484743855,226.9013635247685,6.828009472
derogation,derogation,0.11472611600765958,34.86564471277789,226.36899056415461,6.828009472
derogation,derogation,0.1140029759844765,35.08680335278852,227.80488708940655,6.828009472
derogation,derogation,0.1139625690120738,35.09924385414845,227.88565839761432,6.828009472
derogation,derogation,0.11389964001136832,35.11863601676669,228.01156412266005,6.828009472
derogation,derogation,0.11385544599033892,35.13226763293708,228.1000688733299,6.828009472
derogation,derogation,0.11458393599605188,34.90890730213548,226.64987763114405,6.828009472
derogation,derogation,0.11504053298267536,34.77035351185641,225.75030207753855,6.828009472
animosity,derogation,0.08580080000683665,34.964708950976664,227.01217590567916,6.828009472
derogation,derogation,0.11467746400739998,34.880436488741026,226.46502777846715,6.828009472
derogation,animosity,0.11401955698966049,35.081700943310345,227.77175914089062,6.828009472
derogation,derogation,0.11462561500957236,34.896214076286185,226.5674654817007,6.828009472
animosity,derogation,0.0882946079946123,33.9771597398457,220.60040523865882,6.83625728
derogation,animosity,0.1140316299861297,35.07798669971255,227.74764401034108,6.83625728
derogation,derogation,0.1141862329968717,35.03049268741168,227.43928396964895,6.83625728
derogation,derogation,0.11385286101722158,35.13306529376502,228.10524777301526,6.83625728
derogation,derogation,0.11458008000045083,34.910082101393726,226.65750514310878,6.83625728
derogation,derogation,0.11420127100427635,35.02587987703059,227.40933479652355,6.83625728
