response,expected_response,time,tokens/sec,bandwidth,memory
hate,hate,1.6739249840029515,1.7921950079423095,4.489777111772142,2.65882368
nothate,nothate,0.0719358780188486,55.605076495374426,139.30091236773913,2.65966336
hate,hate,0.05224452700349502,57.422282716796495,143.85334715533418,2.664183296
nothate,nothate,0.06782143798773177,58.97840150076972,147.75171003912732,2.664183296
hate,hate,0.05074144701939076,59.12326463322094,148.1146187480216,2.664183296
hate,hate,0.051001449988689274,58.821857038678665,147.35953745759667,2.664183296
hate,hate,0.051138348993845284,58.664389035341415,146.9650512359038,2.67831296
nothate,nothate,0.0718498149944935,55.671681274427165,139.4677695519185,2.67831296
hate,hate,0.05119270199793391,58.602103091199936,146.80901352507865,2.67831296
hate,hate,0.05099835500004701,58.82542682008536,147.36848041457557,2.67831296
hate,hate,0.05131527499179356,58.46212459116249,146.45834171602706,2.67831296
nothate,nothate,0.06757754500722513,59.19125945715157,148.28495824949874,2.67831296
hate,hate,0.05083638700307347,59.01284841148577,147.83800586665657,2.67831296
hate,hate,0.052813315007369965,56.803857125449476,142.30407765449348,2.67831296
nothate,nothate,0.06749916699482128,59.25999057598579,148.4571423047164,2.67831296
hate,hate,0.05099485701066442,58.82946194696885,147.37858914729955,2.67831296
hate,hate,0.050668960000621155,59.207846380964256,148.32651153502786,2.67831296
hate,hate,0.05056186602450907,59.33325321786575,148.64067865606376,2.67831296
nothate,nothate,0.06866032799007371,58.25780501046083,145.94648370233108,2.67831296
nothate,nothate,0.0677114189893473,59.07423090083669,147.99178025757388,2.67831296
nothate,nothate,0.06735623598797247,59.38574122096526,148.77217072802827,2.67831296
nothate,hate,0.0685011760215275,58.39315807867213,146.285567956539,2.683912704
hate,nothate,0.05120219101081602,58.591242694404926,146.78180623974478,2.683912704
hate,hate,0.05115710501559079,58.642880575155914,146.91116859934783,2.683912704
hate,hate,0.050818082003388554,59.034105218688886,147.89125806634857,2.683912704
hate,hate,0.05004824299248867,59.94216421244289,150.16611234739943,2.683912704
nothate,nothate,0.06733501600683667,59.40445606478911,148.81905484336076,2.683912704
hate,hate,0.05083506400114857,59.014384243368276,147.8418534071324,2.683912704
nothate,hate,0.06842132500605658,58.46130573539645,146.45629033218773,2.683912704
hate,hate,0.05080957702011801,59.04398690058279,147.916013491398,2.683912704
hate,hate,0.05070193199208006,59.16934290528845,148.23005326846268,2.683912704
nothate,nothate,0.06729398702736944,59.44067481650541,148.9097894574804,2.683912704
hate,hate,0.05093181799747981,58.90227598293163,147.56100165856796,2.683912704
hate,hate,0.050865892990259454,58.97861658645183,147.75224886819913,2.683912704
hate,hate,0.050055345986038446,59.93365825174332,150.14480335619407,2.683912704
hate,hate,0.050729534996207803,59.13714762463838,148.1493981871076,2.683912704
