response,expected_response,time,tokens/sec,bandwidth,memory
derogation,threatening,0.5454774370009545,7.333025582125041,47.610466190473346,6.794642432
derogation,animosity,0.11614043900044635,34.4410614806151,223.61233774826866,6.809345536
derogation,derogation,0.11583538100239821,34.53176365792059,224.201231499919,6.809345536
derogation,animosity,0.11506661400198936,34.762472457309336,225.6991334736851,6.819072
derogation,derogation,0.11447083399980329,34.94339877009085,226.8738172384123,6.819072
derogation,derogation,0.1147973730112426,34.84400291641049,226.22847884730433,6.819072
derogation,support,0.11470925499452278,34.870769583421975,226.4022643442332,6.819072
derogation,animosity,0.11448259701137431,34.939808358842384,226.85050610285975,6.819072
derogation,derogation,0.1141919250076171,35.02874655745739,227.42794703099764,6.819072
derogation,derogation,0.1146869839867577,34.87754112063718,226.44622928612952,6.819072
derogation,support,0.11402968800393865,35.07858409523876,227.7515226657725,6.819072
derogation,derogation,0.1163892210170161,34.36744369493804,223.13436626750104,6.819072
derogation,derogation,0.11452498700236902,34.926875825947555,226.76654022639434,6.819072
derogation,derogation,0.1141579510003794,35.03917129685261,227.49563078539916,6.819072
animosity,derogation,0.08605049501056783,34.86325092762768,226.35344865369962,6.819072
derogation,derogation,0.11469529999885708,34.87501231558625,226.42981074428326,6.81970432
derogation,animosity,0.11442912500933744,34.9561355089764,226.95651190097632,6.824884224
derogation,derogation,0.11430721398210153,34.993416956398995,227.198565753396,6.824884224
derogation,derogation,0.11425722899730317,35.008725794447656,227.2979600495386,6.824884224
derogation,derogation,0.11480507801752537,34.8416644025919,226.21329579198166,6.824884224
derogation,derogation,0.11562873999355361,34.59347563783021,224.6019032417708,6.824884224
derogation,derogation,0.11456444198847748,34.91484731713097,226.68844382458582,6.824884224
derogation,derogation,0.113949184975354,35.103366477479916,227.9124249780034,6.824884224
derogation,animosity,0.11449305599671789,34.93661659371435,226.82978322060407,6.824884224
derogation,derogation,0.11427458201069385,35.00340959134446,227.26344402265832,6.824884224
derogation,derogation,0.1150522060052026,34.76682576446315,225.72739779388175,6.824884224
derogation,derogation,0.11458449900965206,34.90873577640775,226.64876398170026,6.824884224
derogation,animosity,0.11472208000486717,34.866871310477435,226.37695438313347,6.824884224
derogation,support,0.11536475899629295,34.67263343503828,225.11584384997948,6.824884224
derogation,support,0.11499192100018263,34.785052421149196,225.84573634489288,6.828009472
derogation,derogation,0.11390394900809042,35.11730747558091,228.00293842450856,6.828009472
derogation,animosity,0.11404848302481696,35.072803196598414,227.7139895525733,6.828009472
derogation,derogation,0.11391379800625145,35.11427122972833,227.9832252680643,6.828009472
derogation,derogation,0.11461148000671528,34.900517816938,226.59540798599187,6.828009472
derogation,derogation,0.1146718849777244,34.88213349573019,226.47604578092432,6.828009472
derogation,derogation,0.11486295697977766,34.824107834035864,226.09930786103874,6.828009472
derogation,derogation,0.11458947899518535,34.907218665057954,226.63891397124854,6.828009472
derogation,derogation,0.11565113099641167,34.58677805860895,224.5584184801945,6.828009472
derogation,derogation,0.11407887100358494,35.06346061116172,227.65333180045124,6.828009472
derogation,derogation,0.11467326799174771,34.881712800649005,226.47331437235155,6.828009472
derogation,animosity,0.11401713400846347,35.08244646548545,227.77659952470142,6.828009472
derogation,threatening,0.11396493500797078,35.09851516802284,227.8809273236861,6.828009472
derogation,support,0.11396861099638045,35.09738308670829,227.87357716261715,6.828009472
derogation,derogation,0.11408655598643236,35.06109870189873,227.6379968476611,6.828009472
derogation,derogation,0.1145321800140664,34.92468229897253,226.75229851392342,6.828009472
derogation,derogation,0.11443549700197764,34.954189082875864,226.94387451780972,6.828009472
derogation,derogation,0.11475223698653281,34.85770826820078,226.3174623345065,6.828009472
derogation,derogation,0.11428644400439225,34.99977652508177,227.23985594478646,6.828009472
derogation,derogation,0.11419303697766736,35.028405460328344,227.42573242078686,6.828009472
derogation,derogation,0.11397974300780334,35.09395524541716,227.85132153019507,6.828009472
derogation,derogation,0.11417835898464546,35.03290847381958,227.4549687256625,6.828009472
derogation,derogation,0.11446497199358419,34.945188299388235,226.88543595201907,6.828009472
derogation,derogation,0.11509911500615999,34.752656436897226,225.63540189349058,6.828009472
derogation,derogation,0.11422659101663157,35.01811587301589,227.3589261559829,6.828009472
derogation,derogation,0.11541563499486074,34.65734950189472,225.0166112516421,6.828009472
derogation,animosity,0.11424031699425541,35.01390844530955,227.33160897396607,6.828009472
derogation,derogation,0.1144115709757898,34.961498787971586,226.99133357320568,6.828009472
derogation,derogation,0.11655725899618119,34.31789692421519,222.81267846947978,6.838371328
derogation,animosity,0.114209038001718,35.02349787711047,227.39386940295685,6.838371328
derogation,derogation,0.11420870700385422,35.0235993816567,227.39452843226368,6.838371328
derogation,derogation,0.11421189300017431,35.022622381312736,227.3881851512641,6.838371328
derogation,derogation,0.11471527800313197,34.86893872924922,226.3903773243783,6.838371328
derogation,derogation,0.11461109999800101,34.90063353435894,226.59615929393368,6.838371328
derogation,derogation,0.11470217298483476,34.872922595187944,226.41624300730254,6.838371328
derogation,support,0.11477467001532204,34.850895232075274,226.27322795642132,6.838371328
derogation,support,0.11483641600352712,34.83215637692091,226.15156390114382,6.838371328
derogation,derogation,0.11473542600288056,34.86281560413238,226.3506222685571,6.838371328
derogation,derogation,0.11427708598785102,35.00264261573179,227.25846435007065,6.838371328
derogation,derogation,0.114215379988309,35.02155314292556,227.38124300473646,6.838371328
derogation,derogation,0.11447763699106872,34.94132221048615,226.86033494931553,6.838371328
derogation,derogation,0.11404997599311173,35.07234407696489,227.7110086684151,6.838371328
derogation,derogation,0.11537312497966923,34.670119238816405,225.09952015754487,6.838371328
derogation,derogation,0.11454707800294273,34.92013999603935,226.7228071180726,6.838371328
derogation,dehumanization,0.11480928500532173,34.840387690025146,226.2050065967765,6.838371328
derogation,derogation,0.11504027299815789,34.77043209089091,225.7508122604669,6.838371328
derogation,derogation,0.11401950899744406,35.08171570963059,227.77185501283094,6.838371328
derogation,derogation,0.11477361799916252,34.85121467573835,226.27530197914908,6.838371328
derogation,derogation,0.1144683490274474,34.94415734991402,226.87874240042342,6.838371328
derogation,derogation,0.11468917797901668,34.87687391683837,226.4418973928953,6.838371328
derogation,derogation,0.11483102600323036,34.83379134736177,226.16217912456355,6.838371328
derogation,derogation,0.11408413102617487,35.0618439569151,227.64283549691476,6.838371328
derogation,derogation,0.1143672879843507,34.975035873433804,227.07922457297084,6.838371328
derogation,derogation,0.11420086197904311,35.02600532677272,227.41014929261925,6.838371328
derogation,derogation,0.11517696300870739,34.72916714862155,225.48289513447784,6.838371328
derogation,derogation,0.11425865199998952,35.00828978798356,227.2951292301469,6.838371328
derogation,derogation,0.11415243000374176,35.040865970780345,227.5066336402013,6.838371328
derogation,derogation,0.11459347599884495,34.906001106383385,226.63100883912247,6.838371328
derogation,support,0.11417191798682325,35.03488485199702,227.46780057594623,6.838371328
derogation,support,0.11480989700066857,34.840201972977184,226.20380080864254,6.838371328
derogation,support,0.11407658600364812,35.06416294639184,227.65789178832438,6.838371328
derogation,support,0.11459734398522414,34.904822929541446,226.62335939782824,6.838371328
derogation,support,0.11395600700052455,35.10126499940971,227.898780903059,6.838371328
derogation,support,0.11460060000536032,34.90383121740117,226.61692059889097,6.838371328
derogation,support,0.11405487600131892,35.070837304261715,227.7012257827511,6.838371328
derogation,support,0.11420126300072297,35.025882331745116,227.40935073402463,6.838371328
