response,expected_response,time,tokens/sec,bandwidth,memory
notgiven,notgiven,0.2828575760067906,10.606044364630977,68.86089663560007,6.888715264
none,none,0.05893036097404547,33.93836329767018,220.3485151180228,6.888715264
notgiven,notgiven,0.08729021600447595,34.368112914810176,223.13871125031056,6.894025216
none,none,0.058734529971843585,34.051519624976464,221.08319488084626,6.894025216
none,notgiven,0.058744618989294395,34.045671491451486,221.04522523784556,6.894025216
notgiven,notgiven,0.08761100398260169,34.24227395677097,222.32168812798926,6.894025216
derogation,notgiven,0.11653073999332264,34.32570667816239,222.86338414643328,6.908536832
none,none,0.059781193995149806,33.455337144357884,217.21241527985407,6.908536832
notgiven,notgiven,0.08752957999240607,34.274127675013126,222.52850185834168,6.908536832
notgiven,notgiven,0.08714922799845226,34.423712853236964,223.49969989804063,6.908536832
notgiven,notgiven,0.0878770079871174,34.13862247608378,221.64871961566342,6.908536832
none,none,0.05895422599860467,33.92462484449098,220.25931671645276,6.908536832
notgiven,notgiven,0.08723616399220191,34.389407588671276,223.27696923653286,6.908536832
notgiven,notgiven,0.08862587800831534,33.850158299345985,219.7758345725217,6.908536832
none,none,0.058647575991926715,34.102006198437174,221.41098445036354,6.908536832
notgiven,notgiven,0.08712024398846552,34.43516526878864,223.57405595166617,6.908536832
none,notgiven,0.05865909700514749,34.09530835131156,221.36749794938905,6.908536832
derogation,notgiven,0.11676892198738642,34.2556900579427,222.4087936240892,6.908536832
none,none,0.05825147399445996,34.33389514212484,222.91654863935233,6.908536832
none,none,0.05894921600702219,33.927508039492075,220.27803617359675,6.908536832
none,none,0.05872918901150115,34.05461634432467,221.10330066803846,6.908536832
none,notgiven,0.05890289900708012,33.954186189708594,220.45124696560654,6.911665152
none,none,0.05856962699908763,34.147391787746145,221.7056553254518,6.911665152
notgiven,notgiven,0.08713575301226228,34.42903625998184,223.53426269534802,6.911665152
notgiven,notgiven,0.08750437200069427,34.284001260830685,222.59260718819235,6.911665152
