response,expected_response,time,tokens/sec,bandwidth,memory
hate,hate,0.2552528129890561,11.753053628947173,29.44355438042607,2.65882368
nothate,nothate,0.06765559400082566,59.122975107589546,148.11389343322753,2.65966336
hate,hate,0.0512734410003759,58.5098238282468,146.57783705105538,2.664183296
nothate,nothate,0.06759088102262467,59.17958072866488,148.25570089322792,2.664183296
hate,hate,0.05031198900542222,59.62793479853647,149.37891004845852,2.664183296
hate,hate,0.050776799995219335,59.08210049239912,148.01149502740608,2.664183296
hate,hate,0.05140307699912228,58.36226496813072,146.208175050072,2.67831296
nothate,nothate,0.06737037401762791,59.37327880877392,148.74095010038104,2.67831296
hate,hate,0.05061676702462137,59.26889796301527,148.47945694248375,2.67831296
hate,hate,0.05075377598404884,59.10890257589613,148.07863916099612,2.67831296
hate,hate,0.05079292997834273,59.063338170866515,147.96449197170764,2.67831296
nothate,nothate,0.0669577410153579,59.73917189175381,149.65757936340137,2.67831296
hate,hate,0.05052887002239004,59.37199859546946,148.73774293131345,2.67831296
hate,hate,0.05059495600289665,59.29444824160426,148.54346507524826,2.67831296
nothate,nothate,0.07017611199989915,56.99945303333061,142.79408126820135,2.67831296
hate,hate,0.05023497299407609,59.71935130439449,149.60792515776336,2.67831296
hate,hate,0.050308122008573264,59.632518174475976,149.3903922455948,2.67831296
hate,hate,0.05029194100643508,59.65170442747748,149.4384573273549,2.67831296
nothate,nothate,0.06751077898661606,59.24979773663989,148.43160737319593,2.67831296
nothate,nothate,0.06740772500052117,59.340379755719,148.6585319401081,2.67831296
nothate,nothate,0.06698062500800006,59.71876194828349,149.606448712641,2.67831296
nothate,hate,0.06780057901050895,58.99654631828451,147.79716613403562,2.683912704
hate,nothate,0.050220745004480705,59.73627033474592,149.6503104310671,2.683912704
hate,hate,0.050636664003832266,59.24560906644551,148.42111398632443,2.683912704
hate,hate,0.05051407200517133,59.38939152822362,148.78131541703078,2.683912704
hate,hate,0.05028861400205642,59.655650877101586,149.4483439072843,2.683912704
